temperature,humidity,co2_ppm,hour_of_day,day_of_week,expected_occupancy,actual_occupancy,outdoor_temp,floor,volume_m3,ac_btu,target_temp_offset,room_id,is_synthetic
20.46,72.3,833.08,17,1,36,17.0,21.53,6,150,30000,1.1562,M601,0
21.13,66.2,830.66,17,1,36,16.0,21.43,6,150,30000,1.0519,M601,0
21.1,65.9,838.37,17,1,36,17.0,21.33,6,150,30000,1.2288,M601,0
21.03,69.2,822.78,17,1,36,16.0,21.22,6,150,30000,1.125,M601,0
19.74,70.5,426.02,17,1,0,0.0,21.22,8,150,30000,0.2842,M802,0
20.91,71.4,829.43,17,1,36,16.0,21.11,6,150,30000,1.0709,M601,0
20.3,69.3,809.88,18,1,36,16.0,21.0,6,150,30000,0.9265,M601,0
19.74,67.0,407.8,19,1,36,0.0,19.89,6,140,24000,0.0933,M602,0
20.25,67.9,416.68,19,1,36,0.0,19.76,6,140,24000,0.0594,M602,0
20.34,68.5,400.0,19,1,36,0.0,19.63,6,140,24000,0.15,M602,0
20.45,70.6,701.72,20,1,36,11.0,19.5,6,140,24000,0.5915,M602,0
20.08,71.7,687.28,20,1,36,11.0,19.37,6,140,24000,0.4385,M602,0
20.04,66.8,698.81,20,1,36,11.0,19.24,6,140,24000,0.4663,M602,0
20.32,69.8,706.64,20,1,36,11.0,19.11,6,140,24000,0.6256,M602,0
20.36,66.8,725.53,20,1,36,12.0,18.98,6,140,24000,0.6473,M602,0
19.82,63.5,680.78,20,1,36,10.0,18.85,6,140,24000,0.4447,M602,0
20.82,68.5,679.85,21,1,36,10.0,18.72,6,140,24000,0.4539,M602,0
20.21,74.3,690.82,21,1,36,11.0,18.6,6,140,24000,0.5246,M602,0
20.8,66.4,713.43,21,1,36,12.0,18.47,6,140,24000,0.5609,M602,0
20.37,64.6,681.74,21,1,36,10.0,18.35,6,140,24000,0.5041,M602,0
20.71,70.2,710.84,21,1,36,12.0,18.23,6,140,24000,0.531,M602,0
20.78,68.7,681.82,21,1,36,10.0,18.11,6,140,24000,0.4134,M602,0
20.31,67.4,682.59,22,1,36,11.0,18.0,6,140,24000,0.4,M602,0
19.96,70.0,400.0,1,2,0,0.0,16.57,4,190,36000,0.0845,A403,0
20.2,68.4,409.87,2,2,0,0.0,16.57,10,190,36000,0.0,M1001,0
20.36,63.0,415.01,3,2,0,0.0,16.73,6,150,30000,0.0,M601,0
20.01,68.0,407.03,5,2,0,0.0,17.57,6,140,24000,0.0026,M602,0
19.87,69.7,470.42,5,2,0,2.0,17.67,6,150,30000,0.0,M604,0
20.34,71.2,427.99,7,2,0,0.0,18.98,6,150,30000,0.0825,M604,0
19.83,69.3,411.68,9,2,0,0.0,20.4,8,150,30000,0.1063,M802,0
20.05,67.9,400.0,9,2,0,0.0,20.89,6,150,30000,0.2337,M604,0
20.73,72.1,429.34,12,2,0,0.0,22.22,6,150,30000,0.2305,M601,0
20.22,66.7,400.0,13,2,0,0.0,22.43,8,150,30000,0.3459,M802,0
20.61,64.8,411.91,14,2,0,0.0,22.43,6,140,24000,0.3367,M602,0
20.52,66.8,440.93,15,2,0,1.0,22.27,4,190,36000,0.3513,A403,0
20.19,70.5,404.4,17,2,0,0.0,21.22,6,150,30000,0.1135,M601,0
19.94,68.2,414.65,19,2,0,0.0,19.76,8,150,30000,0.0,M802,0
19.9,71.4,413.99,19,2,0,0.0,19.63,10,190,36000,0.2576,M1001,0
20.1,68.4,439.42,20,2,0,1.0,19.37,4,190,36000,0.1233,A403,0
19.42,66.5,415.16,22,2,0,0.0,17.67,6,140,24000,0.0,M602,0
19.66,64.9,436.97,23,2,0,1.0,17.29,10,190,36000,0.0588,M1001,0
20.19,65.4,435.08,1,3,0,1.0,16.55,6,150,30000,0.0184,M604,0
19.75,68.2,428.3,1,3,0,0.0,16.51,6,150,30000,0.0682,M601,0
19.94,71.7,444.03,3,3,0,1.0,16.6,6,140,24000,0.0347,M602,0
20.61,64.2,416.04,4,3,0,0.0,17.12,8,150,30000,0.0011,M802,0
20.25,71.8,414.34,4,3,0,0.0,17.29,6,150,30000,0.0,M604,0
19.74,66.9,432.58,5,3,0,1.0,17.38,10,190,36000,0.0848,M1001,0
19.91,67.6,417.06,6,3,0,0.0,18.0,6,140,24000,0.0,M602,0
20.06,67.2,415.36,6,3,0,0.0,18.47,6,150,30000,0.0801,M601,0
19.89,72.3,410.97,9,3,0,0.0,20.28,4,190,36000,0.2587,A403,0
20.2,73.4,436.95,10,3,0,1.0,21.0,4,190,36000,0.1155,A403,0
19.96,71.0,427.18,10,3,0,0.0,21.53,8,150,30000,0.0357,M802,0
19.75,67.0,409.42,11,3,0,0.0,21.8,6,150,30000,0.266,M601,0
20.12,66.0,411.93,12,3,0,0.0,22.1,10,190,36000,0.499,M1001,0
19.58,69.0,428.77,15,3,0,0.0,22.27,6,140,24000,0.1505,M602,0
19.98,70.2,406.01,16,3,0,0.0,21.88,8,150,30000,0.156,M802,0
20.67,68.8,419.39,17,3,0,0.0,21.43,4,190,36000,0.2529,A403,0
20.14,62.7,401.68,17,3,0,0.0,21.33,10,190,36000,0.1725,M1001,0
19.88,67.0,423.67,18,3,28,0.0,20.65,10,190,36000,0.1503,M1001,0
19.76,69.0,423.57,18,3,28,0.0,20.53,10,190,36000,0.1543,M1001,0
20.46,67.1,433.98,18,3,28,1.0,20.4,10,190,36000,0.2844,M1001,0
21.44,67.6,941.85,19,3,28,21.0,20.28,10,190,36000,1.4896,M1001,0
20.92,68.6,937.1,19,3,28,21.0,20.15,10,190,36000,1.5349,M1001,0
20.78,71.9,963.96,19,3,28,22.0,20.02,10,190,36000,1.5538,M1001,0
19.86,67.7,426.07,19,3,0,0.0,19.89,6,150,30000,0.0402,M604,0
20.92,74.8,930.33,19,3,28,20.0,19.89,10,190,36000,1.4037,M1001,0
20.6,67.2,938.76,19,3,28,21.0,19.76,10,190,36000,1.4085,M1001,0
20.52,74.4,969.41,19,3,28,22.0,19.63,10,190,36000,1.5404,M1001,0
20.78,68.5,935.14,20,3,28,21.0,19.5,10,190,36000,1.2781,M1001,0
20.62,73.9,966.31,20,3,28,22.0,19.37,10,190,36000,1.3312,M1001,0
21.11,68.2,944.82,20,3,28,21.0,19.24,10,190,36000,1.4658,M1001,0
20.5,72.2,948.01,20,3,28,21.0,19.11,10,190,36000,1.3357,M1001,0
20.89,74.4,955.28,20,3,28,21.0,18.98,10,190,36000,1.3262,M1001,0
20.9,70.9,944.67,20,3,28,21.0,18.85,10,190,36000,1.3621,M1001,0
21.26,74.2,941.44,21,3,28,21.0,18.72,10,190,36000,1.1803,M1001,0
20.83,72.3,942.8,21,3,28,21.0,18.6,10,190,36000,1.1871,M1001,0
21.17,68.7,948.2,21,3,28,21.0,18.47,10,190,36000,1.23,M1001,0
21.2,69.0,937.91,21,3,28,21.0,18.35,10,190,36000,1.21,M1001,0
20.79,69.7,938.32,21,3,28,21.0,18.23,10,190,36000,1.086,M1001,0
21.29,79.0,954.66,21,3,28,21.0,18.11,10,190,36000,1.2368,M1001,0
20.61,68.6,963.58,22,3,28,22.0,18.0,10,190,36000,1.0748,M1001,0
20.04,67.3,419.67,1,4,0,0.0,16.55,6,140,24000,0.0,M602,0
19.97,63.6,408.28,3,4,0,0.0,16.73,6,150,30000,0.0,M601,0
20.27,69.1,427.36,5,4,0,0.0,17.47,6,150,30000,0.0,M604,0
19.46,61.0,410.06,5,4,0,0.0,17.47,8,150,30000,0.1302,M802,0
19.83,72.3,451.16,6,4,0,1.0,18.35,8,150,30000,0.0,M802,0
20.09,69.8,427.83,7,4,0,0.0,19.37,10,190,36000,0.1114,M1001,0
20.12,60.6,440.09,9,4,0,1.0,20.4,6,150,30000,0.017,M601,0
19.76,62.1,434.8,11,4,0,1.0,21.8,10,190,36000,0.3462,M1001,0
20.19,66.8,425.14,11,4,0,0.0,22.03,6,140,24000,0.2896,M602,0
20.25,70.0,435.15,12,4,0,1.0,22.22,6,150,30000,0.2814,M604,0
20.49,68.2,430.35,13,4,0,0.0,22.45,6,150,30000,0.2033,M601,0
20.47,64.6,400.0,15,4,0,0.0,22.32,4,190,36000,0.2777,A403,0
20.2,66.1,406.36,15,4,36,0.0,22.27,6,150,30000,0.2994,M604,0
20.33,70.4,429.07,15,4,36,0.0,22.22,6,150,30000,0.2936,M604,0
20.28,70.1,401.19,15,4,36,0.0,22.16,6,150,30000,0.3949,M604,0
20.23,76.1,416.16,16,4,0,0.0,22.1,10,190,36000,0.3119,M1001,0
21.21,64.8,832.67,16,4,36,17.0,22.1,6,150,30000,1.2036,M604,0
21.14,69.5,852.47,16,4,36,17.0,22.03,6,150,30000,1.2369,M604,0
20.92,65.7,851.68,16,4,36,17.0,21.96,6,150,30000,1.2372,M604,0
20.69,69.8,849.49,16,4,36,17.0,21.88,6,150,30000,1.2472,M604,0
21.41,66.9,854.95,16,4,36,17.0,21.8,6,150,30000,1.2315,M604,0
20.73,70.9,849.58,16,4,36,17.0,21.71,6,150,30000,1.2427,M604,0
21.05,72.8,847.05,17,4,36,17.0,21.62,6,150,30000,1.0515,M604,0
21.14,67.5,818.84,17,4,36,16.0,21.53,6,150,30000,1.1888,M604,0
20.15,71.7,424.58,17,4,0,0.0,21.43,8,150,30000,0.1804,M802,0
20.62,73.6,833.89,17,4,36,17.0,21.43,6,150,30000,1.0805,M604,0
21.19,69.6,871.81,17,4,36,18.0,21.33,6,150,30000,1.2772,M604,0
21.05,68.4,865.91,17,4,36,18.0,21.22,6,150,30000,1.3253,M604,0
21.19,72.4,855.09,17,4,36,17.0,21.11,6,150,30000,1.1955,M604,0
20.79,74.0,848.71,18,4,36,17.0,21.0,6,150,30000,1.1125,M604,0
20.05,70.8,417.29,18,4,0,0.0,20.4,4,190,36000,0.0694,A403,0
19.73,67.3,442.68,19,4,28,1.0,19.89,10,190,36000,0.4305,M1001,0
20.02,72.4,438.17,19,4,28,1.0,19.76,10,190,36000,0.2618,M1001,0
20.01,69.0,411.85,19,4,28,0.0,19.63,10,190,36000,0.0262,M1001,0
20.38,66.0,711.25,20,4,28,12.0,19.5,10,190,36000,0.7656,M1001,0
20.25,68.0,715.25,20,4,28,12.0,19.37,10,190,36000,0.8256,M1001,0
20.14,65.9,688.09,20,4,28,11.0,19.24,10,190,36000,0.6249,M1001,0
20.38,71.1,676.79,20,4,28,10.0,19.11,10,190,36000,0.6934,M1001,0
20.53,75.2,714.49,20,4,28,12.0,18.98,10,190,36000,0.7538,M1001,0
20.32,66.7,681.38,20,4,28,10.0,18.85,10,190,36000,0.7593,M1001,0
20.53,75.5,678.5,21,4,28,10.0,18.72,10,190,36000,0.6822,M1001,0
19.89,64.6,402.71,21,4,0,0.0,18.6,6,140,24000,0.0,M602,0
20.55,72.2,699.7,21,4,28,11.0,18.6,10,190,36000,0.6553,M1001,0
21.24,69.1,693.75,21,4,28,11.0,18.47,10,190,36000,0.5132,M1001,0
20.35,75.4,688.93,21,4,28,11.0,18.35,10,190,36000,0.7227,M1001,0
20.19,66.5,692.37,21,4,28,11.0,18.23,10,190,36000,0.6388,M1001,0
20.16,66.2,713.3,21,4,28,12.0,18.11,10,190,36000,0.7159,M1001,0
20.19,65.1,704.06,22,4,28,11.0,18.0,10,190,36000,0.4758,M1001,0
20.54,61.5,417.86,22,4,0,0.0,17.57,6,150,30000,0.1463,M604,0
20.07,69.4,436.41,23,4,0,1.0,16.97,4,190,36000,0.201,A403,0
19.9,60.1,408.26,0,5,0,0.0,16.68,8,150,30000,0.0,M802,0
19.69,66.4,427.51,2,5,0,0.0,16.55,6,150,30000,0.0298,M604,0
19.99,67.2,406.4,3,5,0,0.0,16.6,6,150,30000,0.0,M601,0
19.85,64.9,403.58,3,5,0,0.0,16.84,10,190,36000,0.0,M1001,0
20.12,65.2,423.22,4,5,0,0.0,16.9,6,150,30000,0.0,M601,0
19.76,68.2,401.73,4,5,0,0.0,17.29,10,190,36000,0.1494,M1001,0
20.09,64.7,433.2,5,5,0,1.0,17.47,4,190,36000,0.0,A403,0
20.26,66.0,420.42,7,5,0,0.0,18.72,10,190,36000,0.0282,M1001,0
20.05,67.0,420.13,7,5,0,0.0,18.98,4,190,36000,0.0989,A403,0
19.99,69.2,400.0,8,5,0,0.0,19.76,6,140,24000,0.0432,M602,0
20.69,71.4,444.33,10,5,0,1.0,21.43,6,150,30000,0.231,M601,0
20.06,66.1,410.18,16,5,0,0.0,21.88,6,140,24000,0.1644,M602,0
20.6,67.1,406.55,17,5,0,0.0,21.62,8,150,30000,0.2282,M802,0
20.34,71.8,420.78,19,5,0,0.0,19.89,8,150,30000,0.0311,M802,0
20.09,70.5,408.21,19,5,0,0.0,19.63,6,140,24000,0.053,M602,0
19.83,68.3,415.72,21,5,0,0.0,18.72,4,190,36000,0.0266,A403,0
20.32,68.1,412.3,22,5,0,0.0,17.89,6,150,30000,0.0,M604,0
20.54,64.9,400.0,23,5,0,0.0,17.38,6,150,30000,0.0045,M604,0
19.36,67.0,437.36,0,6,0,1.0,16.84,6,140,24000,0.0099,M602,0
20.01,72.7,439.95,0,6,0,1.0,16.78,4,190,36000,0.0973,A403,0
19.67,68.7,434.94,1,6,0,1.0,16.55,6,150,30000,0.0079,M604,0
19.69,67.3,419.0,3,6,0,0.0,16.73,6,150,30000,0.0,M601,0
20.36,70.0,430.16,6,6,0,0.0,18.35,6,150,30000,0.0,M601,0
19.8,70.0,415.19,9,6,0,0.0,20.53,10,190,36000,0.14,M1001,0
20.44,70.4,407.56,11,6,0,0.0,21.62,8,150,30000,0.1378,M802,0
20.21,66.6,415.86,11,6,0,0.0,21.8,10,190,36000,0.3151,M1001,0
20.29,66.2,414.71,12,6,0,0.0,22.1,4,190,36000,0.1546,A403,0
20.37,66.7,439.69,12,6,0,1.0,22.32,8,150,30000,0.2947,M802,0
20.56,66.2,404.72,13,6,0,0.0,22.4,6,150,30000,0.2795,M604,0
20.74,65.4,400.0,14,6,0,0.0,22.5,8,150,30000,0.3292,M802,0
20.01,60.3,410.52,17,6,0,0.0,21.53,6,150,30000,0.1692,M604,0
19.58,69.1,422.93,18,6,0,0.0,20.53,4,190,36000,0.0,A403,0
19.9,69.4,437.16,21,6,0,1.0,18.72,6,140,24000,0.114,M602,0
19.55,68.2,412.55,21,6,0,0.0,18.47,6,150,30000,0.0476,M601,0
20.14,65.2,411.86,22,6,0,0.0,17.67,6,140,24000,0.0,M602,0
20.28,65.2,427.68,22,6,0,0.0,17.57,10,190,36000,0.0616,M1001,0
20.2,70.0,429.81,2,0,0,0.0,16.57,4,190,36000,0.0,A403,0
20.09,65.6,440.1,2,0,0,1.0,16.57,8,150,30000,0.0,M802,0
20.13,70.9,407.61,3,0,0,0.0,16.73,6,150,30000,0.0077,M604,0
19.4,69.8,417.81,4,0,0,0.0,17.2,8,150,30000,0.0,M802,0
19.68,67.7,400.0,5,0,0,0.0,17.38,6,150,30000,0.0162,M604,0
20.43,67.0,400.0,7,0,0,0.0,19.11,6,150,30000,0.0,M601,0
20.23,64.3,402.01,8,0,0,0.0,19.89,10,190,36000,0.2811,M1001,0
20.08,71.1,400.0,8,0,0,0.0,19.89,6,150,30000,0.0595,M601,0
20.72,69.7,407.53,10,0,0,0.0,21.53,10,190,36000,0.131,M1001,0
19.96,65.7,417.75,12,0,0,0.0,22.36,8,150,30000,0.3373,M802,0
20.19,73.3,424.2,14,0,0,0.0,22.45,4,190,36000,0.2386,A403,0
20.62,71.8,400.0,15,0,0,0.0,22.4,4,190,36000,0.29,A403,0
19.86,69.3,418.93,15,0,0,0.0,22.27,10,190,36000,0.2803,M1001,0
20.19,69.6,432.39,15,0,0,0.0,22.22,6,140,24000,0.2231,M602,0
19.77,71.3,400.0,16,0,36,0.0,21.88,4,190,36000,0.2525,A403,0
20.11,71.9,406.38,16,0,36,0.0,21.8,4,190,36000,0.1683,A403,0
20.25,67.2,414.91,16,0,0,0.0,21.71,6,150,30000,0.2658,M601,0
20.25,69.9,430.83,16,0,36,0.0,21.71,4,190,36000,0.185,A403,0
21.01,68.0,842.88,17,0,36,17.0,21.62,4,190,36000,1.1779,A403,0
20.93,71.5,876.19,17,0,36,18.0,21.53,4,190,36000,1.3089,A403,0
21.18,63.5,884.56,17,0,36,19.0,21.43,4,190,36000,1.3929,A403,0
20.66,67.0,859.08,17,0,36,18.0,21.33,4,190,36000,1.2724,A403,0
20.93,68.9,874.56,17,0,36,18.0,21.22,4,190,36000,1.2151,A403,0
20.75,74.2,865.21,17,0,36,18.0,21.11,4,190,36000,1.3271,A403,0
20.57,65.8,883.42,18,0,36,19.0,21.0,4,190,36000,1.1317,A403,0
19.91,66.6,437.67,18,0,0,1.0,20.89,6,140,24000,0.1253,M602,0
19.55,64.7,425.17,20,0,0,0.0,18.98,6,150,30000,0.059,M604,0
19.8,66.4,438.81,23,0,0,1.0,16.97,6,140,24000,0.0,M602,0
20.2,68.8,409.78,0,1,0,0.0,16.9,6,150,30000,0.0022,M604,0
19.94,68.1,431.33,0,1,0,0.0,16.64,4,190,36000,0.0,A403,0
20.33,64.6,400.0,2,1,0,0.0,16.5,6,150,30000,0.0719,M601,0
19.77,67.9,433.74,3,1,0,1.0,16.84,6,140,24000,0.0,M602,0
19.79,69.7,428.11,5,1,0,0.0,17.47,10,190,36000,0.0,M1001,0
20.15,67.0,405.16,8,1,36,0.0,19.89,8,150,30000,0.1514,M802,0
20.4,63.9,400.54,8,1,36,0.0,20.02,8,150,30000,0.0,M802,0
19.82,64.8,403.2,8,1,36,0.0,20.15,8,150,30000,0.3899,M802,0
20.7,69.2,709.47,9,1,36,12.0,20.28,8,150,30000,0.8058,M802,0
20.79,64.4,709.28,9,1,36,12.0,20.4,8,150,30000,0.8113,M802,0
21.33,69.6,708.85,9,1,36,12.0,20.53,8,150,30000,0.9471,M802,0
20.76,67.3,714.32,9,1,36,12.0,20.65,8,150,30000,0.883,M802,0
20.55,69.4,719.75,9,1,36,12.0,20.77,8,150,30000,0.7517,M802,0
21.01,76.2,730.49,9,1,36,12.0,20.89,8,150,30000,0.9521,M802,0
20.57,66.5,713.22,10,1,36,12.0,21.0,8,150,30000,1.0254,M802,0
20.45,71.6,710.83,10,1,36,12.0,21.11,8,150,30000,0.9283,M802,0
21.34,73.7,759.6,10,1,36,14.0,21.22,8,150,30000,1.0755,M802,0
20.47,68.7,436.67,10,1,0,1.0,21.33,6,140,24000,0.2704,M602,0
20.81,68.9,738.01,10,1,36,13.0,21.33,8,150,30000,0.9693,M802,0
21.25,68.6,745.93,10,1,36,13.0,21.43,8,150,30000,1.0837,M802,0
20.42,72.6,721.58,10,1,36,12.0,21.53,8,150,30000,1.0079,M802,0
20.03,66.2,427.51,11,1,0,0.0,21.62,6,140,24000,0.1415,M602,0
20.4,72.0,728.21,11,1,36,12.0,21.62,8,150,30000,0.9276,M802,0
20.34,74.1,431.57,12,1,0,0.0,22.27,8,150,30000,0.2638,M802,0
20.04,66.9,416.16,12,1,0,0.0,22.32,6,150,30000,0.1762,M601,0
19.99,70.3,400.0,12,1,0,0.0,22.36,6,150,30000,0.3286,M604,0
21.15,63.6,431.56,13,1,0,0.0,22.49,4,190,36000,0.2809,A403,0
20.62,69.8,432.64,15,1,36,1.0,22.27,6,150,30000,0.3672,M601,0
20.32,64.2,416.21,15,1,36,0.0,22.22,6,150,30000,0.2513,M601,0
19.97,64.5,427.01,15,1,36,0.0,22.16,6,150,30000,0.2582,M601,0
21.36,70.4,788.91,16,1,36,15.0,22.1,6,150,30000,1.0687,M601,0
21.33,67.8,791.95,16,1,36,15.0,22.03,6,150,30000,1.1808,M601,0
21.29,69.2,783.97,16,1,36,15.0,21.96,6,150,30000,1.2661,M601,0
20.66,67.4,410.25,16,1,0,0.0,21.88,6,150,30000,0.1964,M604,0
21.03,72.1,808.41,16,1,36,16.0,21.88,6,150,30000,1.1312,M601,0
21.25,66.5,838.06,16,1,36,17.0,21.8,6,150,30000,1.2213,M601,0
21.01,68.8,793.26,16,1,36,15.0,21.71,6,150,30000,1.0706,M601,0
20.76,65.1,787.93,17,1,36,15.0,21.62,6,150,30000,1.0139,M601,0
20.3,70.2,419.31,17,1,0,0.0,21.53,10,190,36000,0.2652,M1001,0
20.85,69.8,781.49,17,1,36,14.0,21.53,6,150,30000,0.984,M601,0
21.08,68.3,806.21,17,1,36,15.0,21.43,6,150,30000,1.1743,M601,0
20.58,71.3,780.6,17,1,36,14.0,21.33,6,150,30000,0.9959,M601,0
20.62,72.9,810.72,17,1,36,16.0,21.22,6,150,30000,1.1307,M601,0
20.56,73.2,786.18,17,1,36,15.0,21.11,6,150,30000,1.1171,M601,0
20.7,73.9,808.77,18,1,36,16.0,21.0,6,150,30000,1.0209,M601,0
20.25,73.4,418.36,18,1,0,0.0,21.0,8,150,30000,0.3129,M802,0
20.42,65.3,437.81,18,1,0,1.0,20.65,4,190,36000,0.1659,A403,0
20.11,69.5,400.0,19,1,36,0.0,19.89,6,140,24000,0.0374,M602,0
20.18,72.5,400.0,19,1,36,0.0,19.76,6,140,24000,0.0657,M602,0
20.15,73.5,422.02,19,1,36,0.0,19.63,6,140,24000,0.0788,M602,0
20.47,66.5,656.77,20,1,36,9.0,19.5,6,140,24000,0.3739,M602,0
19.82,71.1,636.58,20,1,36,9.0,19.37,6,140,24000,0.4762,M602,0
20.6,64.9,616.86,20,1,36,8.0,19.24,6,140,24000,0.2936,M602,0
20.42,70.1,688.18,20,1,36,11.0,19.11,6,140,24000,0.6663,M602,0
20.57,74.6,640.23,20,1,36,9.0,18.98,6,140,24000,0.4514,M602,0
